,year,month,volume_mean,day_of_week,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power
23,2019,4,0.0,66.13333333333334,0.0,24.89999999999999,24.89999999999999,24.89999999999998,0.0,0.0,0.0,24.899999999999988,24.899999999999988,24.899999999999988,24.899999999999988,24.899999999999984,,,10.4,14.615384615384615,,,0.0,0.0,0.0,0.0,24.900000000000002,24.900000000000002,,,24.899999999999995,24.89999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,312,380.0,0.0,0.0,,,,,,0.0,,0.0,
24,2019,5,0.0,68.7741935483871,0.0,62.69000000000001,33.45,53.130013440860225,0.0,0.0,0.0,64.10483870967742,64.10483870967742,59.388709677419364,33.45000000000002,68.6462962962963,,,10.193548387096774,14.666666666666666,,,0.0,0.0,0.0,0.0,70.0,33.45000000000001,,,33.449999999999996,33.449999999999996,,,0.0,0.0,0.0,0.0,0.0,0.0,316,396.0,0.0,0.0,,,,,,0.0,,0.0,
25,2019,6,0.0,73.2,0.0,98.67999999999998,50.0,81.3208472222222,0.0,0.0,0.0,100.70833333333329,100.70833333333329,90.56666666666662,50.0,110.84999999999995,,,11.233333333333333,14.2,,,0.0,0.0,0.0,0.0,110.85000000000001,50.0,,,110.84999999999997,50.0,,,0.0,0.0,0.0,0.0,0.0,0.0,337,355.0,0.0,0.0,,,,,,0.0,,0.0,
26,2019,7,254.83870967741936,65.29032258064517,14270.967741935483,181.18400000000003,56.0,143.99896774193553,25.0,3.225806451612903,10.940860215053762,192.2890322580644,192.2890322580644,172.09806451612894,56.0,212.47999999999988,,,10.193548387096774,14.666666666666666,,,442400.0,0.0,0.0,0.0,212.48,56.0,,,212.48,56.0,,,7900.0,0.0,0.0,0.0,7900.0,442400.0,316,396.0,0.0,0.0,56.0,56.0,,,,25.0,,0.0,
27,2019,8,0.0,70.06451612903226,0.0,115.72999999999998,57.450000000000024,97.00833333333333,0.0,0.0,0.0,120.90000000000005,120.90000000000005,109.15000000000003,57.45000000000003,130.30000000000007,,,10.483870967741936,14.333333333333334,,,0.0,0.0,0.0,0.0,130.29999999999998,57.450000000000024,,,130.29999999999998,57.449999999999996,,,0.0,0.0,0.0,0.0,0.0,0.0,325,387.0,0.0,0.0,,,,,,0.0,,0.0,
28,2019,9,0.0,69.2,0.0,77.19000000000001,45.95000000000002,66.46209722222224,0.0,0.0,0.0,78.49166666666666,78.49166666666666,73.285,45.950000000000024,85.0,,,10.933333333333334,14.56,,,0.0,0.0,0.0,0.0,85.0,45.95000000000002,,,85.0,45.949999999999996,,,0.0,0.0,0.0,0.0,0.0,0.0,328,364.0,0.0,0.0,,,,,,0.0,,0.0,
29,2019,10,203.8709677419355,67.48387096774194,7129.367741935484,86.994,34.97000000000002,71.82033333333332,20.0,2.5806451612903225,8.666666666666664,91.6090322580645,91.6090322580645,83.21806451612902,34.97000000000002,100.0,,,10.193548387096774,14.666666666666666,,,221010.40000000002,0.0,0.0,0.0,100.0,34.97000000000002,,,100.0,34.97,,,6320.0,0.0,0.0,0.0,6320.0,221010.40000000002,316,396.0,0.0,0.0,34.970000000000006,34.970000000000006,,,,20.0,,0.0,
30,2019,11,0.0,70.66666666666667,0.0,91.2,56.0,79.53999999999999,0.0,0.0,0.0,94.13333333333334,94.13333333333334,86.8,56.0,100.0,,,10.7,14.26923076923077,,,0.0,0.0,0.0,0.0,100.0,56.0,,,100.0,56.0,,,0.0,0.0,0.0,0.0,0.0,0.0,321,371.0,0.0,0.0,,,,,,0.0,,0.0,
31,2019,12,352.258064516129,67.61290322580645,21163.66451612904,92.01599999999999,60.07999999999999,79.68587096774193,30.0,6.774193548387097,15.266129032258064,90.98580645161289,90.98580645161289,85.8348387096774,60.07999999999998,96.92923076923077,,,10.709677419354838,14.615384615384615,,,598396.8000000003,57676.80000000002,0.0,0.0,100.0,60.08000000000001,,,60.08000000000001,60.07999999999999,,,10920.0,0.0,0.0,960.0,9960.0,656073.6000000002,332,380.0,0.0,0.0,60.08000000000002,60.08000000000003,60.08000000000002,,,30.0,,2.526315789473684,
32,2020,1,214.19354838709677,68.7741935483871,10174.193548387097,91.1,47.5,76.8450268817204,20.0,3.225806451612903,9.231182795698924,93.20967741935483,93.20967741935483,86.1774193548387,47.5,99.98148148148148,,,10.193548387096774,14.666666666666666,,,300200.0,15200.0,0.0,0.0,102.0,47.5,,,47.5,47.5,,,6640.0,0.0,0.0,320.0,6320.0,315400.0,316,396.0,0.0,0.0,47.5,47.5,47.5,,,20.0,,0.8080808080808081,
33,2020,2,218.6206896551724,71.58620689655173,10931.034482758621,91.6,50.0,77.68850574712646,20.0,2.7586206896551726,9.350574712643676,94.82758620689656,94.82758620689656,85.86206896551724,50.0,102.0,,,10.931034482758621,14.2,,,317000.0,0.0,0.0,0.0,102.0,50.0,,,102.0,50.0,,,6340.0,0.0,0.0,0.0,6340.0,317000.0,317,355.0,0.0,0.0,50.0,50.0,,,,20.0,,0.0,
34,2020,3,382.22222222222223,123.11111111111111,20257.777777777777,70.15,53.0,59.66944444444445,20.0,11.11111111111111,17.27777777777778,74.77777777777777,74.77777777777777,53.0,53.0,102.0,,,19.11111111111111,7.0,,,182320.0,0.0,0.0,0.0,102.0,53.0,,,102.0,53.0,,,3440.0,0.0,0.0,0.0,3440.0,182320.0,172,28.0,0.0,0.0,53.0,53.0,,,,20.0,,0.0,
35,2020,4,229.33333333333334,68.4,12154.666666666666,92.2,53.0,77.8675,20.0,4.0,9.849999999999998,92.2,92.2,85.66666666666667,53.0,98.23076923076923,,,10.4,14.615384615384615,,,330720.0,33920.0,0.0,0.0,102.0,53.0,,,53.0,53.0,,,6880.0,0.0,0.0,640.0,6240.0,364640.0,312,380.0,0.0,0.0,53.0,53.0,53.0,,,20.0,,1.6842105263157894,
