year,month,hour,price,volume,value
2021,3,23,45.58032258064515,20.0,911.6064516129038
2021,4,0,37.436818181818175,22.727272727272727,818.4727272727275
2021,4,1,37.436818181818175,22.727272727272727,818.4727272727275
2021,4,2,37.436818181818175,22.727272727272727,818.4727272727275
2021,4,3,37.436818181818175,22.727272727272727,818.4727272727275
2021,4,4,38.19133333333332,22.333333333333332,823.4900000000002
2021,4,5,38.19133333333332,22.333333333333332,823.4900000000002
2021,4,6,62.04599999999998,21.0,1029.59
2021,4,7,147.93833333333336,8.5,372.57
2021,4,8,147.93833333333336,8.5,372.57
2021,4,9,147.93833333333336,8.5,372.57
2021,4,10,66.41366666666666,21.833333333333332,1146.4833333333333
2021,4,11,66.41366666666666,21.833333333333332,1146.4833333333333
2021,4,12,62.04599999999998,21.0,1029.59
2021,4,13,62.04599999999998,21.0,1029.59
2021,4,14,62.04599999999998,21.0,1029.59
2021,4,15,62.04599999999998,21.0,1029.59
2021,4,16,62.04599999999998,21.0,1029.59
2021,4,17,62.04599999999998,21.0,1029.59
2021,4,18,147.93833333333336,8.5,372.57
2021,4,19,147.93833333333336,8.5,372.57
2021,4,20,62.04599999999998,21.0,1029.59
2021,4,21,62.04599999999998,21.0,1029.59
2021,4,22,38.19133333333332,22.333333333333332,823.4900000000002
2021,4,23,38.19133333333332,22.333333333333332,823.4900000000002
2021,5,0,36.73454545454546,25.90909090909091,937.9818181818184
2021,5,1,36.73454545454546,25.90909090909091,937.9818181818184
2021,5,2,36.73454545454546,25.90909090909091,937.9818181818184
2021,5,3,36.73454545454546,25.90909090909091,937.9818181818184
2021,5,4,36.86967741935485,25.64516129032258,932.0161290322584
2021,5,5,36.86967741935485,25.64516129032258,932.0161290322584
2021,5,6,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,7,155.63645161290324,4.67741935483871,178.89354838709676
2021,5,8,155.63645161290324,4.67741935483871,178.89354838709676
2021,5,9,155.63645161290324,4.67741935483871,178.89354838709676
2021,5,10,73.09451612903226,4.67741935483871,178.89354838709676
2021,5,11,73.09451612903226,4.67741935483871,178.89354838709676
2021,5,12,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,13,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,14,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,15,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,16,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,17,67.32548387096774,8.064516129032258,300.53548387096777
2021,5,18,155.63645161290324,4.67741935483871,178.89354838709676
2021,5,19,155.63645161290324,4.67741935483871,178.89354838709676
