month,hour,price,volume,zamg,value
4,18,145.05366666666663,75.19399999999999,,7878.149046666667
4,19,180.45020000000008,54.764666666666656,,8175.817253333332
4,20,150.54133333333334,52.082,,6126.956726666665
4,21,84.77053333333332,81.07599999999998,,5660.714720000002
4,22,55.74773333333331,105.17199999999997,,5308.926053333332
4,23,50.49999999999998,111.67800000000001,,5231.544713333333
5,0,30.70161290322581,129.81032258064516,,3860.2472838709677
5,1,28.45425806451614,139.12645161290322,,3949.2733290322567
5,2,27.427225806451627,138.4025806451613,,3801.455974193548
5,3,27.58993548387097,140.2483870967742,,3877.918754838709
5,4,30.91393548387098,140.68,,4248.70049032258
5,5,38.25212903225806,125.52387096774191,,4254.058677419355
5,6,45.063935483870964,131.8335483870968,,5514.0104387096835
5,7,60.96567741935486,142.27225806451617,,7894.398961290325
5,8,70.2050967741935,139.1993548387097,,8453.674948387092
5,9,69.5058064516129,134.06193548387097,,8067.551832258061
5,10,54.53748387096776,116.86580645161291,,5751.7406193548395
5,11,53.093419354838716,115.63806451612903,,5552.586406451613
5,12,50.58961290322577,114.81612903225806,,5236.538161290321
5,13,47.64600000000001,117.66709677419355,,5119.567258064519
5,14,48.65767741935482,117.35741935483873,,5174.24386451613
5,15,48.43129032258062,118.67225806451611,,5179.814670967742
5,16,53.38367741935483,121.19806451612901,,5780.817438709675
5,17,92.35832258064515,107.38193548387098,,8172.228535483868
5,18,161.81277419354853,70.65935483870969,,10448.660625806451
5,19,162.85012903225822,72.04193548387097,,10910.756554838705
5,20,92.2858064516129,79.21225806451612,,6541.686761290321
5,21,52.02374193548384,103.06451612903226,,4949.410922580651
5,22,42.14800000000002,113.64709677419357,,4451.028696774194
5,23,31.40935483870969,126.66967741935481,,3908.9961612903235
6,0,44.97746666666666,134.63866666666667,,5021.885780000003
6,1,44.293466666666674,136.32266666666666,,5048.477779999999
6,2,43.822266666666664,135.618,,4944.651993333335
6,3,43.992599999999996,135.97400000000002,,5012.513360000001
6,4,46.36633333333333,134.72799999999998,,5395.1819
6,5,54.25506666666666,106.39866666666666,,4504.436733333335
